
 52435, 943.56, 8.7, 0.4, 57.4, 78840, 1.7495, 2, 131084, (5.14, -8.1, -0.09), (-10.0, 31.75, -14.1875), (0.0, 0.0, -0.00436333), 0, 0, 0
 53754, 943.56, 8.7, 0.4, 57.4, 79893, 1.80826, 3, 196621, (5.11, -8.11, -0.14), (-10.25, 33.1875, -14.1875), (0.0, 0.0, -0.00109083), 0, 0, 0
 55087, 943.57, 8.7, 0.4, 57.3, 80974, 1.80826, 3, 196621, (5.11, -8.11, -0.12), (-10.6875, 32.1875, -14.1875), (-0.00218166, 0.00327249, 0.0), 0, 0, 0
 56426, 943.57, 8.7, 0.3, 57.3, 82166, 1.48186, 3, 196619, (5.1, -8.11, -0.13), (-10.6875, 31.75, -13.75), (0.0, 0.0, 0.0), 0, 0, 0
 57735, 943.57, 8.7, 0.4, 57.3, 83310, 1.80826, 3, 196621, (5.15, -8.06, -0.16), (-11.0, 32.5625, -14.5), (-0.00109083, -0.00218166, -0.00218166), 0, 0, 0
 59087, 943.57, 8.7, 0.4, 57.3, 84572, 1.80826, 3, 196621, (5.1, -8.12, -0.13), (-10.6875, 32.1875, -13.75), (0.0, 0.00109083, 0.00109083), 0, 0, 0
 60430, 943.56, 8.7, 0.5, 57.3, 85174, 1.48186, 3, 196619, (5.09, -8.11, -0.12), (-62.875, 19.5, 3.5625), (0.00109083, 0.0, 0.0), 0, 0, 0
 61749, 943.54, 8.7, 0.7, 57.3, 86138, 1.80826, 3, 196621, (5.11, -8.11, -0.12), (-62.875, 19.875, 3.5625), (0.00109083, 0.00218166, 0.00109083), 0, 0, 0
 63094, 943.54, 8.7, 0.7, 57.2, 86943, 1.80826, 3, 196621, (5.12, -8.12, -0.15), (-62.875, 19.875, 3.25), (0.00327249, -0.00218166, 0.00109083), 0, 0, 0
 64454, 943.54, 8.7, 0.6, 57.2, 88132, 1.64506, 3, 196620, (5.1, -8.12, -0.13), (-62.5625, 20.5625, 4.375), (0.00109083, 0.0, 0.0), 0, 0, 0
 65784, 943.54, 8.7, 0.6, 57.2, 88880, 1.80826, 3, 196621, (5.1, -8.1, -0.13), (-62.875, 19.0625, 2.875), (0.00109083, 0.00218166, 0.00109083), 0, 0, 0
 67129, 943.54, 8.7, 0.6, 57.2, 89450, 1.80826, 3, 196621, (5.12, -8.11, -0.15), (-62.1875, 20.25, 4.375), (0.00109083, 0.00109083, -0.00109083), 0, 0, 0
 68484, 943.55, 8.7, 0.6, 57.2, 90808, 1.48186, 3, 196619, (5.09, -8.11, -0.13), (-63.25, 18.75, 3.25), (-0.00218166, 0.0, 0.0), 0, 0, 0
 69808, 943.55, 8.7, 0.5, 57.2, 91104, 1.64506, 3, 196620, (5.09, -8.09, -0.11), (-63.25, 20.25, 3.25), (0.00218166, 0.00218166, 0.00109083), 0, 0, 0
 71148, 943.56, 8.7, 0.5, 57.1, 92106, 1.64506, 3, 196620, (5.1, -8.12, -0.16), (-62.875, 19.5, 4.375), (-0.00327249, -0.00218166, -0.00327249), 0, 0, 0
